BoardNumber	Depth	VDP	Board	Shift
1  0  60.26  A1  A
2  0  55.62  A2  A
3  0  60.97  A3  A
4  0  59.54  A4  A
5  0  58.51  A5  A
6  0  52.8  A6  A
7  0  56.96  A7  A
8  0  59.39  A8  A
9  0  55.38  A9  A
1  0.002  59.62  A1  A
2  0.002  55.13  A2  A
3  0.002  60.41  A3  A
4  0.002  59.63  A4  A
5  0.002  57.71  A5  A
6  0.002  52.33  A6  A
7  0.002  56.27  A7  A
8  0.002  58.41  A8  A
9  0.002  54.56  A9  A
1  0.004  59.53  A1  A
2  0.004  54.72  A2  A
3  0.004  59.77  A3  A
4  0.004  59.26  A4  A
5  0.004  57.19  A5  A
6  0.004  51.86  A6  A
7  0.004  55.94  A7  A
8  0.004  58.15  A8  A
9  0.004  53.92  A9  A
1  0.006  59.08  A1  A
2  0.006  54.08  A2  A
3  0.006  58.96  A3  A
4  0.006  58.72  A4  A
5  0.006  57.01  A5  A
6  0.006  51.63  A6  A
7  0.006  55.35  A7  A
8  0.006  57.63  A8  A
9  0.006  53.61  A9  A
1  0.008  58.64  A1  A
2  0.008  53.6  A2  A
3  0.008  59.23  A3  A
4  0.008  58.36  A4  A
5  0.008  55.98  A5  A
6  0.008  51.1  A6  A
7  0.008  54.93  A7  A
8  0.008  57.28  A8  A
9  0.008  53.06  A9  A
1  0.01  57.85  A1  A
2  0.01  53.84  A2  A
3  0.01  58.96  A3  A
4  0.01  57.91  A4  A
5  0.01  55.65  A5  A
6  0.01  50.5  A6  A
7  0.01  54.36  A7  A
8  0.01  56.43  A8  A
9  0.01  52.59  A9  A
1  0.012  57.34  A1  A
2  0.012  53.44  A2  A
3  0.012  58.25  A3  A
4  0.012  57.82  A4  A
5  0.012  55.73  A5  A
6  0.012  50.28  A6  A
7  0.012  53.87  A7  A
8  0.012  56.18  A8  A
9  0.012  52.75  A9  A
1  0.014  56.74  A1  A
2  0.014  52.82  A2  A
3  0.014  58.51  A3  A
4  0.014  57.2  A4  A
5  0.014  54.98  A5  A
6  0.014  49.98  A6  A
7  0.014  53.31  A7  A
8  0.014  55.85  A8  A
9  0.014  52.13  A9  A
1  0.016  56.49  A1  A
2  0.016  52.97  A2  A
3  0.016  57.81  A3  A
4  0.016  56.34  A4  A
5  0.016  54.65  A5  A
6  0.016  49.32  A6  A
7  0.016  52.83  A7  A
8  0.016  55.6  A8  A
9  0.016  51.9  A9  A
1  0.018  55.82  A1  A
2  0.018  52.89  A2  A
3  0.018  57.12  A3  A
4  0.018  55.91  A4  A
5  0.018  54.4  A5  A
6  0.018  48.89  A6  A
7  0.018  52.76  A7  A
8  0.018  55.27  A8  A
9  0.018  51.07  A9  A
1  0.02  55.58  A1  A
2  0.02  52.2  A2  A
3  0.02  56.95  A3  A
4  0.02  55.57  A4  A
5  0.02  53.75  A5  A
6  0.02  48.6  A6  A
7  0.02  51.98  A7  A
8  0.02  54.46  A8  A
9  0.02  51  A9  A
1  0.022  55.33  A1  A
2  0.022  51.97  A2  A
3  0.022  56.27  A3  A
4  0.022  55.24  A4  A
5  0.022  53.75  A5  A
6  0.022  48.46  A6  A
7  0.022  51.74  A7  A
8  0.022  54.14  A8  A
9  0.022  50.26  A9  A
1  0.024  54.92  A1  A
2  0.024  51.82  A2  A
3  0.024  55.77  A3  A
4  0.024  54.82  A4  A
5  0.024  53.27  A5  A
6  0.024  47.89  A6  A
7  0.024  51.36  A7  A
8  0.024  53.58  A8  A
9  0.024  50.19  A9  A
1  0.026  54.76  A1  A
2  0.026  51.22  A2  A
3  0.026  55.44  A3  A
4  0.026  54.91  A4  A
5  0.026  53.03  A5  A
6  0.026  47.54  A6  A
7  0.026  50.76  A7  A
8  0.026  53.27  A8  A
9  0.026  49.97  A9  A
1  0.028  54.36  A1  A
2  0.028  51.14  A2  A
3  0.028  54.95  A3  A
4  0.028  54.33  A4  A
5  0.028  52.48  A5  A
6  0.028  46.85  A6  A
7  0.028  50.61  A7  A
8  0.028  53.42  A8  A
9  0.028  50.12  A9  A
1  0.03  53.88  A1  A
2  0.03  50.99  A2  A
3  0.03  54.71  A3  A
4  0.03  53.44  A4  A
5  0.03  52.17  A5  A
6  0.03  46.85  A6  A
7  0.03  50.53  A7  A
8  0.03  52.72  A8  A
9  0.03  49.39  A9  A
1  0.032  53.65  A1  A
2  0.032  50.7  A2  A
3  0.032  54.38  A3  A
4  0.032  53.52  A4  A
5  0.032  52.09  A5  A
6  0.032  46.31  A6  A
7  0.032  50.31  A7  A
8  0.032  52.33  A8  A
9  0.032  49.25  A9  A
1  0.034  53.26  A1  A
2  0.034  50.47  A2  A
3  0.034  54.14  A3  A
4  0.034  52.88  A4  A
5  0.034  51.25  A5  A
6  0.034  46.78  A6  A
7  0.034  50.01  A7  A
8  0.034  52.11  A8  A
9  0.034  49.18  A9  A
1  0.036  53.18  A1  A
2  0.036  50.47  A2  A
3  0.036  53.82  A3  A
4  0.036  52.96  A4  A
5  0.036  51.02  A5  A
6  0.036  46.31  A6  A
7  0.036  49.72  A7  A
8  0.036  51.8  A8  A
9  0.036  48.89  A9  A
1  0.038  52.79  A1  A
2  0.038  50.62  A2  A
3  0.038  53.35  A3  A
4  0.038  52.57  A4  A
5  0.038  50.57  A5  A
6  0.038  46.17  A6  A
7  0.038  49.35  A7  A
8  0.038  51.2  A8  A
9  0.038  48.47  A9  A
1  0.04  53.02  A1  A
2  0.04  50.33  A2  A
3  0.04  53.43  A3  A
4  0.04  52.02  A4  A
5  0.04  50.05  A5  A
6  0.04  45.97  A6  A
7  0.04  49.06  A7  A
8  0.04  51.05  A8  A
9  0.04  48.05  A9  A
1  0.042  52.71  A1  A
2  0.042  50.11  A2  A
3  0.042  53.43  A3  A
4  0.042  52.02  A4  A
5  0.042  50.2  A5  A
6  0.042  45.5  A6  A
7  0.042  49.21  A7  A
8  0.042  50.9  A8  A
9  0.042  47.98  A9  A
1  0.044  52.71  A1  A
2  0.044  50.25  A2  A
3  0.044  53.27  A3  A
4  0.044  51.56  A4  A
5  0.044  50.2  A5  A
6  0.044  45.23  A6  A
7  0.044  48.84  A7  A
8  0.044  50.46  A8  A
9  0.044  47.84  A9  A
1  0.046  52.25  A1  A
2  0.046  50.18  A2  A
3  0.046  53.35  A3  A
4  0.046  51.33  A4  A
5  0.046  49.53  A5  A
6  0.046  45.37  A6  A
7  0.046  48.42  A7  A
8  0.046  50.46  A8  A
9  0.046  47.7  A9  A
1  0.048  52.25  A1  A
2  0.048  50.04  A2  A
3  0.048  53.11  A3  A
4  0.048  51.33  A4  A
5  0.048  49.75  A5  A
6  0.048  44.71  A6  A
7  0.048  48.27  A7  A
8  0.048  50.09  A8  A
9  0.048  47.09  A9  A
1  0.05  51.88  A1  A
2  0.05  49.6  A2  A
3  0.05  52.8  A3  A
4  0.05  51.4  A4  A
5  0.05  49.39  A5  A
6  0.05  45.1  A6  A
7  0.05  47.99  A7  A
8  0.05  49.95  A8  A
9  0.05  47.36  A9  A
1  0.052  51.72  A1  A
2  0.052  49.67  A2  A
3  0.052  52.42  A3  A
4  0.052  50.65  A4  A
5  0.052  49.24  A5  A
6  0.052  44.77  A6  A
7  0.052  48.27  A7  A
8  0.052  49.8  A8  A
9  0.052  47.36  A9  A
1  0.054  51.43  A1  A
2  0.054  49.53  A2  A
3  0.054  52.19  A3  A
4  0.054  50.65  A4  A
5  0.054  48.52  A5  A
6  0.054  44.38  A6  A
7  0.054  47.92  A7  A
8  0.054  49.66  A8  A
9  0.054  47.22  A9  A
1  0.056  51.13  A1  A
2  0.056  49.38  A2  A
3  0.056  52.03  A3  A
4  0.056  50.65  A4  A
5  0.056  48.38  A5  A
6  0.056  44.32  A6  A
7  0.056  48.13  A7  A
8  0.056  49.3  A8  A
9  0.056  46.81  A9  A
1  0.058  51.13  A1  A
2  0.058  49.17  A2  A
3  0.058  51.73  A3  A
4  0.058  50.2  A4  A
5  0.058  48.52  A5  A
6  0.058  44.19  A6  A
7  0.058  47.92  A7  A
8  0.058  49.22  A8  A
9  0.058  46.68  A9  A
1  0.06  50.76  A1  A
2  0.06  49.17  A2  A
3  0.06  51.43  A3  A
4  0.06  50.27  A4  A
5  0.06  48.09  A5  A
6  0.06  44.12  A6  A
7  0.06  47.43  A7  A
8  0.06  49.3  A8  A
9  0.06  46.34  A9  A
1  0.062  50.61  A1  A
2  0.062  49.1  A2  A
3  0.062  51.35  A3  A
4  0.062  50.05  A4  A
5  0.062  48.31  A5  A
6  0.062  43.8  A6  A
7  0.062  47.43  A7  A
8  0.062  48.59  A8  A
9  0.062  46.61  A9  A
1  0.064  50.39  A1  A
2  0.064  48.67  A2  A
3  0.064  51.35  A3  A
4  0.064  50.2  A4  A
5  0.064  48.24  A5  A
6  0.064  43.61  A6  A
7  0.064  47.57  A7  A
8  0.064  48.52  A8  A
9  0.064  45.88  A9  A
1  0.066  50.54  A1  A
2  0.066  48.32  A2  A
3  0.066  51.5  A3  A
4  0.066  50.12  A4  A
5  0.066  47.6  A5  A
6  0.066  43.74  A6  A
7  0.066  47.57  A7  A
8  0.066  48.59  A8  A
9  0.066  45.61  A9  A
1  0.068  50.1  A1  A
2  0.068  48.11  A2  A
3  0.068  51.35  A3  A
4  0.068  49.61  A4  A
5  0.068  47.67  A5  A
6  0.068  43.29  A6  A
7  0.068  47.5  A7  A
8  0.068  48.44  A8  A
9  0.068  45.74  A9  A
1  0.07  50.17  A1  A
2  0.07  47.83  A2  A
3  0.07  51.5  A3  A
4  0.07  49.83  A4  A
5  0.07  47.81  A5  A
6  0.07  43.23  A6  A
7  0.07  47.22  A7  A
8  0.07  47.82  A8  A
9  0.07  45.28  A9  A
1  0.072  49.81  A1  A
2  0.072  47.7  A2  A
3  0.072  51.58  A3  A
4  0.072  49.61  A4  A
5  0.072  47.6  A5  A
6  0.072  43.1  A6  A
7  0.072  47.64  A7  A
8  0.072  48.16  A8  A
9  0.072  45.48  A9  A
1  0.074  49.6  A1  A
2  0.074  47.76  A2  A
3  0.074  51.58  A3  A
4  0.074  49.61  A4  A
5  0.074  47.6  A5  A
6  0.074  43.1  A6  A
7  0.074  47.29  A7  A
8  0.074  48.03  A8  A
9  0.074  45.41  A9  A
1  0.076  49.31  A1  A
2  0.076  48.11  A2  A
3  0.076  51.28  A3  A
4  0.076  49.61  A4  A
5  0.076  47.18  A5  A
6  0.076  42.97  A6  A
7  0.076  47.36  A7  A
8  0.076  47.96  A8  A
9  0.076  45.15  A9  A
1  0.078  49.31  A1  A
2  0.078  48.04  A2  A
3  0.078  50.53  A3  A
4  0.078  49.46  A4  A
5  0.078  47.39  A5  A
6  0.078  42.79  A6  A
7  0.078  47.08  A7  A
8  0.078  47.75  A8  A
9  0.078  45.09  A9  A
1  0.08  49.45  A1  A
2  0.08  47.9  A2  A
3  0.08  50.53  A3  A
4  0.08  49.1  A4  A
5  0.08  47.18  A5  A
6  0.08  43.1  A6  A
7  0.08  47.36  A7  A
8  0.08  47.54  A8  A
9  0.08  44.76  A9  A
1  0.082  49.6  A1  A
2  0.082  47.56  A2  A
3  0.082  50.53  A3  A
4  0.082  49.31  A4  A
5  0.082  47.25  A5  A
6  0.082  42.85  A6  A
7  0.082  47.01  A7  A
8  0.082  47.47  A8  A
9  0.082  44.57  A9  A
1  0.084  49.6  A1  A
2  0.084  47.7  A2  A
3  0.084  50.68  A3  A
4  0.084  49.39  A4  A
5  0.084  47.46  A5  A
6  0.084  42.91  A6  A
7  0.084  47.08  A7  A
8  0.084  47.68  A8  A
9  0.084  44.89  A9  A
1  0.086  49.67  A1  A
2  0.086  47.35  A2  A
3  0.086  50.31  A3  A
4  0.086  49.17  A4  A
5  0.086  47.04  A5  A
6  0.086  42.72  A6  A
7  0.086  46.94  A7  A
8  0.086  47.27  A8  A
9  0.086  44.83  A9  A
1  0.088  49.1  A1  A
2  0.088  47.42  A2  A
3  0.088  50.09  A3  A
4  0.088  49.17  A4  A
5  0.088  47.11  A5  A
6  0.088  42.97  A6  A
7  0.088  47.08  A7  A
8  0.088  47.06  A8  A
9  0.088  44.57  A9  A
1  0.09  49.17  A1  A
2  0.09  46.94  A2  A
3  0.09  49.73  A3  A
4  0.09  48.66  A4  A
5  0.09  46.7  A5  A
6  0.09  42.85  A6  A
7  0.09  46.53  A7  A
8  0.09  47.33  A8  A
9  0.09  44.7  A9  A
1  0.092  48.88  A1  A
2  0.092  47.08  A2  A
3  0.092  50.17  A3  A
4  0.092  48.81  A4  A
5  0.092  46.84  A5  A
6  0.092  42.85  A6  A
7  0.092  46.74  A7  A
8  0.092  46.93  A8  A
9  0.092  44.38  A9  A
1  0.094  48.53  A1  A
2  0.094  47.01  A2  A
3  0.094  50.24  A3  A
4  0.094  48.59  A4  A
5  0.094  46.91  A5  A
6  0.094  42.72  A6  A
7  0.094  46.67  A7  A
8  0.094  47.06  A8  A
9  0.094  44.51  A9  A
1  0.096  48.46  A1  A
2  0.096  47.08  A2  A
3  0.096  50.31  A3  A
4  0.096  48.45  A4  A
5  0.096  46.7  A5  A
6  0.096  42.85  A6  A
7  0.096  46.94  A7  A
8  0.096  46.99  A8  A
9  0.096  44.31  A9  A
1  0.098  48.12  A1  A
2  0.098  46.74  A2  A
3  0.098  50.39  A3  A
4  0.098  48.38  A4  A
5  0.098  46.98  A5  A
6  0.098  42.85  A6  A
7  0.098  46.6  A7  A
8  0.098  46.99  A8  A
9  0.098  43.99  A9  A
1  0.1  48.26  A1  A
2  0.1  46.27  A2  A
3  0.1  50.98  A3  A
4  0.1  48.66  A4  A
5  0.1  47.53  A5  A
6  0.1  42.54  A6  A
7  0.1  46.88  A7  A
8  0.1  46.99  A8  A
9  0.1  44.06  A9  A
1  0.102  48.39  A1  A
2  0.102  46.47  A2  A
3  0.102  51.65  A3  A
4  0.102  48.66  A4  A
5  0.102  47.53  A5  A
6  0.102  42.23  A6  A
7  0.102  47.08  A7  A
8  0.102  46.72  A8  A
9  0.102  44.25  A9  A
1  0.104  47.98  A1  A
2  0.104  46.07  A2  A
3  0.104  51.88  A3  A
4  0.104  48.38  A4  A
5  0.104  47.39  A5  A
6  0.104  42.29  A6  A
7  0.104  47.08  A7  A
8  0.104  46.59  A8  A
9  0.104  44.12  A9  A
1  0.106  47.98  A1  A
2  0.106  45.87  A2  A
3  0.106  51.65  A3  A
4  0.106  48.16  A4  A
5  0.106  46.91  A5  A
6  0.106  41.92  A6  A
7  0.106  46.26  A7  A
8  0.106  46.99  A8  A
9  0.106  44.31  A9  A
1  0.108  47.63  A1  A
2  0.108  45.74  A2  A
3  0.108  51.65  A3  A
4  0.108  48.02  A4  A
5  0.108  46.09  A5  A
6  0.108  41.73  A6  A
7  0.108  46.26  A7  A
8  0.108  47.13  A8  A
9  0.108  44.31  A9  A
1  0.11  47.84  A1  A
2  0.11  45.74  A2  A
3  0.11  51.65  A3  A
4  0.11  47.95  A4  A
5  0.11  45.68  A5  A
